Description,Value,
Initial global model loss on central data,22.8555540800095,
,,
Final Evaluation Results,,
Test on CamCAN,Epochs: 200,Test MAE: 9.71444263458252
Test on SALD,Epochs: 200,Test MAE: 4.806795954704285
Test on eNKI,Epochs: 200,Test MAE: 7.387399400983538
,,
Final Evaluation Results on global model,,
Test on CamCAN,Epochs: 200,Test MAE: 11.941390800476075
Test on SALD,Epochs: 200,Test MAE: 5.571655690670013
Test on eNKI,Epochs: 200,Test MAE: 7.387399400983538
Total Time (mins),65.8709901901428,
